SampleID,Transect,Site,extracted,ExposureLength,TrapID,P_summary,Host,Parasitoid,Core,ReplacemeSequencet,BothAvailable
22582,Kirrama,K070,yes,10.1,B1,y,rubida,Asobara PV20,yes,Sequence,yes
43,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
44,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Screen,NA
45,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
46,Paluma,P880,yes,10.1,B3,y,birchii,Ganaspis cutiepie,NA,Screen,yes
47,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Extra,NA
48,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Sequence,NA
49,Paluma,P880,yes,10.1,B3,NA,NA,NA,NA,Screen,NA
50,Paluma,P880,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
51,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
52,Paluma,P880,NA,10.1,B15,NA,NA,NA,NA,Sequence,NA
7876,Paluma,P880,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
54,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Screen,NA
26172,Kirrama,K070,yes,10.1,B13,NA,NA,NA,yes,Sequence,NA
56,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
57,Paluma,P880,yes,10.1,B15,NA,NA,NA,NA,Sequence,NA
58,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Sequence,NA
59,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Extra,NA
60,Paluma,P880,yes,10.1,B11,NA,NA,NA,NA,Screen,NA
61,Paluma,P880,yes,10.1,B11,y,birchii,"HYM_our064,Figitidae,Leptolamina,(lamina),L160",NA,Screen,yes
62,Paluma,P880,yes,10.1,B11,NA,NA,NA,NA,Screen,NA
63,Paluma,P880,yes,10.1,B11,y,pseudotakahashii,"HYM_our068,Pteromalidae,,,K730",NA,Sequence,yes
64,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Sequence,NA
65,Paluma,P880,NA,10.1,B11,NA,NA,NA,NA,Extra,NA
66,Paluma,P880,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
67,Paluma,P880,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
68,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
69,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
70,Paluma,P880,yes,10.1,B1,y,NA,"HYM_our064,Figitidae,Leptolamina,(lamina),L160",NA,Sequence,NA
71,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Extra,NA
72,Paluma,P880,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
73,Paluma,P880,NA,10.1,B1,NA,NA,NA,NA,Screen,NA
74,Paluma,P880,yes,10.1,B9,NA,NA,NA,NA,Sequence,NA
75,Paluma,P880,NA,10.1,B9,NA,NA,NA,NA,Sequence,NA
76,Paluma,P880,yes,10.1,B9,y,pallidifrons,"HYM_our070,Diapriid,,,P880",NA,Screen,yes
77,Paluma,P880,NA,10.1,B9,NA,NA,NA,NA,Extra,NA
78,Paluma,P880,NA,10.1,B9,NA,NA,NA,NA,Extra,NA
79,Paluma,P880,yes,10.1,B9,NA,NA,NA,NA,Sequence,NA
80,Paluma,P880,NA,10.1,B9,NA,NA,NA,NA,Extra,NA
81,Paluma,P880,NA,10.1,B9,NA,NA,NA,NA,Extra,NA
82,Paluma,P880,yes,10.1,B5,y,pseudotakahashii,"HYM_our070,Diapriid,,,P880",NA,Sequence,yes
27799,Kirrama,K070,yes,10.1,B1,NA,rubida,NA,yes,Extra,NA
84,Paluma,P880,NA,10.1,B5,NA,NA,NA,NA,Extra,NA
85,Paluma,P880,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
86,Paluma,P880,NA,10.1,B5,NA,NA,NA,NA,Extra,NA
87,Paluma,P880,yes,10.1,B5,NA,NA,NA,NA,Screen,NA
30409,Kirrama,K070,yes,10.1,B1,NA,rubida,NA,yes,Extra,NA
6930,Kirrama,K070,yes,10.1,B1,NA,NA,NA,yes,Sequence,NA
98,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Screen,NA
99,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
100,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Extra,NA
101,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Extra,NA
102,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Extra,NA
103,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
104,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Extra,NA
105,Kirrama,K070,yes,10.1,B5,NA,NA,NA,NA,Extra,NA
9540,Kirrama,K070,yes,10.1,B1,NA,NA,NA,yes,Extra,NA
12147,Kirrama,K070,yes,10.1,B1,NA,NA,NA,yes,Extra,NA
108,Kirrama,K070,NA,10.1,B15,NA,NA,NA,NA,Extra,NA
109,Kirrama,K070,NA,10.1,B15,NA,NA,NA,NA,Extra,NA
110,Kirrama,K070,NA,10.1,B15,NA,NA,NA,NA,Extra,NA
111,Kirrama,K070,NA,10.1,B15,NA,NA,NA,NA,Screen,NA
12151,Kirrama,K070,yes,10.1,B1,NA,rubida,NA,yes,Extra,NA
113,Kirrama,K070,NA,10.1,B15,NA,NA,NA,NA,Extra,NA
210,Paluma,P250,NA,20,B6,NA,NA,NA,NA,Extra,NA
211,Paluma,P250,yes,20,B6,y,NA,NA,NA,Sequence,NA
212,Paluma,P250,yes,20,B6,NA,NA,NA,NA,Screen,NA
213,Paluma,P250,NA,20,B6,NA,NA,NA,NA,Extra,NA
214,Paluma,P250,yes,20,B6,y,NA,NA,NA,Sequence,NA
215,Paluma,P250,NA,20,B6,NA,NA,NA,NA,Screen,NA
216,Paluma,P250,NA,20,B6,NA,NA,NA,NA,Extra,NA
217,Paluma,P250,NA,20,B6,NA,NA,NA,NA,Extra,NA
218,Paluma,P250,yes,20,B14,NA,NA,NA,NA,Screen,NA
219,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Extra,NA
220,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Extra,NA
221,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Extra,NA
222,Paluma,P250,yes,20,B14,y,NA,NA,NA,Sequence,NA
223,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Screen,NA
224,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Extra,NA
225,Paluma,P250,NA,20,B14,NA,NA,NA,NA,Extra,NA
226,Paluma,P250,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
227,Paluma,P250,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
228,Paluma,P250,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
229,Paluma,P250,yes,10.2,B15,NA,NA,NA,NA,Screen,NA
230,Paluma,P250,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
231,Paluma,P250,yes,10.2,B15,NA,NA,NA,NA,Sequence,NA
232,Paluma,P250,yes,10.2,B15,NA,NA,NA,NA,Sequence,NA
233,Paluma,P250,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
234,Paluma,P250,yes,20,B12,NA,NA,NA,NA,Screen,NA
235,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Extra,NA
236,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Sequence,NA
237,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Extra,NA
238,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Extra,NA
239,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Extra,NA
240,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Extra,NA
241,Paluma,P250,NA,20,B12,NA,NA,NA,NA,Sequence,NA
242,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
243,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
244,Paluma,P250,yes,10.2,B5,NA,NA,NA,NA,Screen,NA
245,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
246,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
247,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
248,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
249,Paluma,P250,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
14754,Kirrama,K070,yes,10.1,B1,NA,NA,NA,yes,Extra,NA
14759,Kirrama,K070,yes,10.1,B1,NA,NA,NA,yes,Extra,NA
22581,Kirrama,K070,yes,10.1,B1,y,pseudoananassae,"HYM_our069,Diapriid,,,L800",yes,Extra,yes
10539,Kirrama,K070,yes,10.1,B15,y,rubida,Asobara PV20,yes,Extra,yes
28778,Kirrama,K070,yes,10.1,B13,y,pseudoananassae,NA,yes,Extra,NA
27800,Kirrama,K070,yes,10.1,B1,NA,pseudoananassae,NA,yes,Sequence,NA
264,Paluma,P880,NA,20,B8,NA,NA,NA,NA,Extra,NA
265,Paluma,P880,yes,20,B8,NA,NA,NA,NA,Sequence,NA
30403,Kirrama,K070,yes,10.1,B1,NA,rubida,NA,yes,Extra,NA
10540,Kirrama,K070,yes,10.1,B15,y,rubida,Asobara PV20,NA,Sequence,yes
268,Paluma,P880,NA,20,B4,NA,NA,NA,NA,Sequence,NA
269,Paluma,P880,NA,20,B4,NA,NA,NA,NA,Extra,NA
30405,Kirrama,K070,yes,10.1,B1,NA,rubida,NA,yes,Extra,NA
271,Paluma,P880,yes,20,B4,NA,NA,NA,NA,Screen,NA
272,Paluma,P880,yes,20,B4,NA,NA,NA,NA,Screen,NA
273,Paluma,P880,yes,20,B4,NA,NA,NA,NA,Screen,NA
274,Paluma,P880,yes,10.2,B15,NA,NA,NA,NA,Screen,NA
275,Paluma,P880,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
276,Paluma,P880,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
112,Kirrama,K070,yes,10.1,B15,NA,NA,NA,yes,Sequence,NA
278,Paluma,P880,yes,10.2,B15,NA,NA,NA,NA,Sequence,NA
279,Paluma,P880,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
280,Paluma,P880,yes,10.2,B15,NA,NA,NA,NA,Sequence,NA
281,Paluma,P880,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
282,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
283,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
284,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
285,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
286,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
287,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
288,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
289,Paluma,P880,yes,20,B14,NA,NA,NA,NA,Extra,NA
290,Paluma,P070,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
1736,Kirrama,K390,yes,10.1,B11,NA,NA,NA,yes,Extra,NA
292,Paluma,P070,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
293,Paluma,P070,yes,10.1,B1,y,bipectinata,"HYM_our059,Figitidae,Leptopilina,(asiansp),L90",NA,Screen,yes
1737,Kirrama,K390,yes,10.1,B11,NA,pseudoananassae,NA,yes,Extra,NA
2718,Kirrama,K070,yes,10.1,B15,NA,rubida,NA,yes,Sequence,NA
9555,Kirrama,K390,yes,10.1,B11,NA,NA,NA,yes,Extra,NA
297,Paluma,P070,yes,10.1,B1,NA,NA,NA,NA,Screen,NA
298,Paluma,P070,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
299,Paluma,P070,yes,10.1,B5,y,pseudoananassae,"HYM_our059,Figitidae,Leptopilina,(asiansp),L90",NA,Sequence,yes
300,Paluma,P070,yes,10.1,B5,NA,NA,NA,NA,Screen,NA
12163,Kirrama,K390,yes,10.1,B11,NA,pseudoananassae,NA,yes,Extra,NA
302,Paluma,P070,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
303,Paluma,P070,yes,10.1,B5,NA,NA,NA,NA,Sequence,NA
304,Paluma,P070,yes,10.1,B5,y,bipectinata,"HYM_our059,Figitidae,Leptopilina,(asiansp),L90",NA,Sequence,yes
12168,Kirrama,K390,yes,10.1,B11,NA,pallidifrons,NA,yes,Extra,NA
306,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
307,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Screen,NA
308,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Screen,NA
309,Kirrama,K070,yes,20,B6,NA,NA,NA,NA,Screen,NA
310,Kirrama,K070,yes,20,B6,NA,NA,NA,NA,Sequence,NA
311,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
312,Kirrama,K070,yes,20,B6,NA,NA,NA,NA,Screen,NA
14771,Kirrama,K390,yes,10.1,B11,NA,pallidifrons,NA,yes,Extra,NA
14772,Kirrama,K390,yes,10.1,B11,NA,pallidifrons,NA,yes,Extra,NA
315,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
316,Kirrama,K070,yes,20,B6,NA,NA,NA,NA,Sequence,NA
317,Kirrama,K070,yes,20,B6,NA,NA,NA,NA,Screen,NA
318,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
319,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
320,Kirrama,K070,NA,20,B6,NA,NA,NA,NA,Extra,NA
19988,Kirrama,K390,yes,10.1,B11,y,rubida,NA,yes,Extra,NA
322,Kirrama,K730,yes,10.2,B5,NA,NA,NA,NA,Screen,NA
323,Kirrama,K730,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
22599,Kirrama,K390,yes,10.1,B11,NA,rubida,NA,yes,Extra,NA
325,Kirrama,K730,NA,10.2,B5,NA,NA,NA,NA,Extra,NA
326,Kirrama,K730,yes,10.2,B5,NA,NA,NA,NA,Sequence,NA
25204,Kirrama,K390,yes,10.1,B11,NA,pallidifrons,NA,yes,Extra,NA
328,Kirrama,K730,yes,10.2,B5,NA,NA,NA,NA,Screen,NA
13152,Kirrama,K070,yes,10.1,B15,y,rubida,Asobara PV20,NA,Screen,yes
331,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Extra,NA
332,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Extra,NA
333,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Extra,NA
334,Kirrama,K730,yes,20,B4,NA,NA,NA,NA,Sequence,NA
335,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Extra,NA
336,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Extra,NA
337,Kirrama,K730,NA,20,B4,NA,NA,NA,NA,Screen,NA
378,Kirrama,K730,yes,10.2,B15,NA,NA,NA,NA,Screen,NA
379,Kirrama,K730,yes,10.2,B15,NA,NA,NA,NA,Sequence,NA
380,Kirrama,K730,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
27812,Kirrama,K390,yes,10.1,B11,NA,pallidifrons,NA,yes,Extra,NA
382,Kirrama,K730,yes,10.2,B15,y,NA,"HYM_our068,Pteromalidae,,,K730",NA,Sequence,NA
383,Kirrama,K730,NA,10.2,B15,NA,NA,NA,NA,Extra,NA
27813,Kirrama,K390,yes,10.1,B11,NA,NA,NA,yes,Extra,NA
385,Kirrama,K730,yes,10.2,B15,NA,NA,NA,NA,Screen,NA
394,Kirrama,K730,yes,10.2,B9,NA,NA,NA,NA,Screen,NA
5327,Kirrama,K070,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
396,Kirrama,K730,NA,10.2,B9,NA,NA,NA,NA,Extra,NA
1738,Kirrama,K390,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
398,Kirrama,K730,NA,10.2,B9,NA,NA,NA,NA,Extra,NA
399,Kirrama,K730,yes,10.2,B9,NA,NA,NA,NA,Screen,NA
6955,Kirrama,K390,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
401,Kirrama,K730,yes,10.2,B9,NA,NA,NA,NA,Screen,NA
402,Kirrama,K730,yes,10.2,B13,NA,NA,NA,NA,Screen,NA
403,Kirrama,K730,yes,10.2,B13,NA,NA,NA,NA,Sequence,NA
404,Kirrama,K730,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
405,Kirrama,K730,yes,10.2,B13,NA,NA,NA,NA,Screen,NA
406,Kirrama,K730,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
407,Kirrama,K730,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
408,Kirrama,K730,yes,10.2,B13,NA,NA,NA,NA,Sequence,NA
409,Kirrama,K730,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
6960,Kirrama,K390,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
411,Paluma,P070,yes,20,B2,NA,NA,NA,NA,Screen,NA
412,Paluma,P070,NA,20,B2,NA,NA,NA,NA,Sequence,NA
413,Paluma,P070,yes,20,B2,y,NA,"HYM_our059,Figitidae,Leptopilina,(asiansp),L90",NA,Screen,NA
6961,Kirrama,K390,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
415,Paluma,P070,NA,20,B2,NA,NA,NA,NA,Sequence,NA
416,Paluma,P070,NA,20,B2,NA,NA,NA,NA,Extra,NA
9567,Kirrama,K390,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
418,Paluma,P070,NA,20,B4,NA,NA,NA,NA,Screen,NA
12174,Kirrama,K390,yes,10.1,B15,NA,pallidifrons,NA,yes,Extra,NA
420,Paluma,P070,yes,20,B4,NA,NA,NA,NA,Screen,NA
14781,Kirrama,K390,yes,10.1,B15,NA,pallidifrons,NA,yes,Extra,NA
7931,Kirrama,K070,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
423,Paluma,P070,yes,20,B4,NA,NA,NA,NA,Screen,NA
424,Paluma,P070,yes,20,B4,NA,NA,NA,NA,Screen,NA
17392,Kirrama,K390,yes,10.1,B15,NA,rubida,NA,yes,Extra,NA
19995,Kirrama,K390,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
19996,Kirrama,K390,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
428,Paluma,P070,NA,20,B8,NA,NA,NA,NA,Sequence,NA
19998,Kirrama,K390,yes,10.1,B15,NA,pallidifrons,NA,yes,Extra,NA
430,Paluma,P070,NA,20,B8,NA,NA,NA,NA,Sequence,NA
20000,Kirrama,K390,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
22605,Kirrama,K390,yes,10.1,B15,NA,pallidifrons,NA,yes,Extra,NA
433,Paluma,P070,yes,20,B8,NA,NA,NA,NA,Screen,NA
1866,Kirrama,K730,yes,10.1,B13,NA,NA,NA,yes,Extra,NA
1869,Kirrama,K730,yes,10.1,B13,NA,rubida,NA,yes,Extra,NA
1872,Kirrama,K730,yes,10.1,B13,NA,pseudotakahashii,NA,yes,Extra,NA
437,Paluma,P070,NA,20,B14,NA,NA,NA,NA,Sequence,NA
438,Paluma,P070,yes,20,B14,y,NA,"HYM_our059,Figitidae,Leptopilina,(asiansp),L90",NA,Screen,NA
4479,Kirrama,K730,yes,10.1,B13,NA,pallidifrons,NA,yes,Extra,NA
10543,Kirrama,K070,yes,10.1,B15,NA,NA,NA,yes,Extra,NA
4481,Kirrama,K730,yes,10.1,B13,NA,NA,NA,yes,Extra,NA
442,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
443,Kirrama,K670,yes,10.2,B1,NA,NA,NA,NA,Screen,NA
444,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
445,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
446,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
447,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
448,Kirrama,K670,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
449,Kirrama,K670,yes,10.2,B1,NA,NA,NA,NA,Sequence,NA
450,Kirrama,K670,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
451,Kirrama,K670,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
452,Kirrama,K670,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
453,Kirrama,K670,yes,10.2,B11,NA,NA,NA,NA,Sequence,NA
454,Kirrama,K670,yes,10.2,B11,NA,NA,NA,NA,Screen,NA
455,Kirrama,K670,yes,10.2,B11,NA,NA,NA,NA,Screen,NA
456,Kirrama,K670,yes,10.2,B11,NA,NA,NA,NA,Screen,NA
457,Kirrama,K670,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
458,Kirrama,K670,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
459,Kirrama,K670,yes,10.2,B13,NA,NA,NA,NA,Sequence,NA
460,Kirrama,K670,yes,10.2,B13,NA,NA,NA,NA,Screen,NA
461,Kirrama,K670,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
462,Kirrama,K670,yes,10.2,B13,NA,NA,NA,NA,Screen,NA
463,Kirrama,K670,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
464,Kirrama,K670,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
465,Kirrama,K670,NA,10.2,B13,NA,NA,NA,NA,Extra,NA
466,Kirrama,K670,NA,10.2,B3,NA,NA,NA,NA,Extra,NA
467,Kirrama,K670,yes,10.2,B3,y,NA,NA,NA,Screen,NA
468,Kirrama,K670,NA,10.2,B3,NA,NA,NA,NA,Extra,NA
469,Kirrama,K670,yes,10.2,B3,NA,NA,NA,NA,Sequence,NA
470,Kirrama,K670,yes,10.2,B3,NA,NA,NA,NA,Screen,NA
471,Kirrama,K670,yes,10.2,B3,NA,NA,NA,NA,Sequence,NA
472,Kirrama,K670,yes,10.2,B3,NA,NA,NA,NA,Screen,NA
473,Kirrama,K670,yes,10.2,B3,NA,NA,NA,NA,Sequence,NA
474,Kirrama,K670,yes,20,B4,NA,NA,NA,NA,Screen,NA
475,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
476,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
477,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
478,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
479,Kirrama,K670,yes,20,B4,NA,NA,NA,NA,Screen,NA
480,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
481,Kirrama,K670,NA,20,B4,NA,NA,NA,NA,Extra,NA
482,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
483,Kirrama,K670,yes,20,B6,y,NA,NA,NA,Screen,NA
484,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
485,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
486,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
487,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
488,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
489,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
490,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
491,Kirrama,K670,yes,20,B6,y,NA,NA,NA,Screen,NA
492,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
493,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
494,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
495,Kirrama,K670,yes,20,B6,NA,NA,NA,NA,Screen,NA
496,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
497,Kirrama,K670,NA,20,B6,NA,NA,NA,NA,Extra,NA
498,Kirrama,K670,NA,20,B14,NA,NA,NA,NA,Extra,NA
499,Kirrama,K670,yes,20,B14,NA,NA,NA,NA,Sequence,NA
500,Kirrama,K670,yes,20,B14,y,NA,NA,NA,Sequence,NA
501,Kirrama,K670,yes,20,B14,NA,NA,NA,NA,Screen,NA
502,Kirrama,K670,NA,20,B14,NA,NA,NA,NA,Extra,NA
503,Kirrama,K670,yes,20,B14,y,NA,NA,NA,Sequence,NA
504,Kirrama,K670,NA,20,B14,NA,NA,NA,NA,Extra,NA
505,Kirrama,K670,yes,20,B14,NA,NA,NA,NA,Screen,NA
506,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
507,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
508,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
509,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
510,Kirrama,K670,yes,20,B8,NA,NA,NA,NA,Sequence,NA
511,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
512,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Extra,NA
513,Kirrama,K670,NA,20,B8,NA,NA,NA,NA,Screen,NA
7082,Kirrama,K730,yes,10.1,B13,NA,pallidifrons,NA,yes,Extra,NA
515,Kirrama,K390,yes,10.2,B9,NA,NA,NA,NA,Screen,NA
516,Kirrama,K390,NA,10.2,B9,NA,NA,NA,NA,Screen,NA
517,Kirrama,K390,NA,10.2,B9,NA,NA,NA,NA,Extra,NA
7089,Kirrama,K730,yes,10.1,B13,NA,NA,NA,yes,Extra,NA
9693,Kirrama,K730,yes,10.1,B13,NA,NA,NA,yes,Extra,NA
520,Kirrama,K390,NA,10.2,B9,NA,NA,NA,NA,Extra,NA
521,Kirrama,K390,NA,10.2,B9,NA,NA,NA,NA,Extra,NA
522,Kirrama,K390,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
523,Kirrama,K390,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
524,Kirrama,K390,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
9695,Kirrama,K730,yes,10.1,B13,NA,rubida,NA,yes,Extra,NA
14911,Kirrama,K730,yes,10.1,B13,NA,rubida,NA,yes,Extra,NA
527,Kirrama,K390,NA,10.2,B1,NA,NA,NA,NA,Extra,NA
14912,Kirrama,K730,yes,10.1,B13,y,pallidifrons,"HYM_our068,Pteromalidae,,,K730",yes,Extra,yes
17514,Kirrama,K730,yes,10.1,B13,NA,rubida,NA,yes,Extra,NA
530,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
531,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
532,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Sequence,NA
533,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
534,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
535,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
536,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
537,Kirrama,K390,NA,20,B10,NA,NA,NA,NA,Extra,NA
546,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
547,Kirrama,K390,yes,10.2,B11,NA,NA,NA,NA,Screen,NA
548,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
549,Kirrama,K390,yes,10.2,B11,NA,NA,NA,NA,Sequence,NA
550,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
551,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
552,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
553,Kirrama,K390,NA,10.2,B11,NA,NA,NA,NA,Extra,NA
17518,Kirrama,K730,yes,10.1,B13,NA,rubida,NA,yes,Extra,NA
